"","area","year","est","lwr","upr","se","coord","type"
"133","CA",2003,366.530985205824,289.77249078685,443.289479624797,39.1632167858362,"X","cog"
"134","CA",2004,369.442115337336,289.548464686044,449.335765988629,40.7628156851266,"X","cog"
"135","CA",2005,370.339269703373,290.832644929812,449.845894476934,40.5653498741299,"X","cog"
"136","CA",2006,368.379808469914,288.446243378499,448.313373561328,40.7831805696024,"X","cog"
"137","CA",2007,368.531458417179,291.191008453,445.871908381359,39.4601383363323,"X","cog"
"138","CA",2008,368.656934443103,290.82718437033,446.486684515877,39.7097858362114,"X","cog"
"139","CA",2009,367.3014728698,293.208240474389,441.394705265211,37.8033642351843,"X","cog"
"140","CA",2010,366.770476896007,291.367458573556,442.173495218458,38.4716346408508,"X","cog"
"141","CA",2011,369.551562866179,292.361718785096,446.741406947262,39.3832971880843,"X","cog"
"142","CA",2012,368.782394050415,290.833477819779,446.731310281051,39.7705860135632,"X","cog"
"143","CA",2013,368.137943586673,291.148683519328,445.127203654018,39.2809565250312,"X","cog"
"144","CA",2014,368.57784565865,289.903392616716,447.252298700584,40.1407646581813,"X","cog"
"145","CA",2015,368.238798233746,290.199649061514,446.277947405978,39.8166240746231,"X","cog"
"146","CA",2016,366.892370126201,287.666510615854,446.118229636548,40.4220996586011,"X","cog"
"147","CA",2017,367.991991345181,289.679489887309,446.304492803053,39.9560920892378,"X","cog"
"148","CA",2018,369.672355551957,286.685297279906,452.659413824008,42.341113880991,"X","cog"
"149","CA",2019,367.926429011489,289.702739732169,446.150118290809,39.9107789206019,"X","cog"
"150","CA",2021,368.339890170833,285.822795820179,450.856984521488,42.1013319640251,"X","cog"
"151","CA",2022,367.325574690516,290.399444190453,444.251705190578,39.248746970274,"X","cog"
"152","CA",2023,366.712725755491,290.137420321421,443.288031189561,39.0697513005783,"X","cog"
"153","CA",2024,369.133215362358,290.561798108738,447.704632615977,40.0881944124386,"X","cog"
"154","CA",2025,368.665485147352,289.236894291339,448.094076003365,40.5255359193002,"X","cog"
"155","CA",2003,4465.33366278535,4396.57230816906,4534.09501740164,35.0829684415991,"Y","cog"
"156","CA",2004,4462.70007665685,4384.10973654822,4541.29041676548,40.0978491077087,"Y","cog"
