"area","year","est","lwr","upr","log_est","se","se_natural","type"
"WA",2016,13951.5243943535,11208.9231863321,17365.1857266349,9.54334405686027,0.111674809050364,13951.5243943535,"index"
"WA",2017,14581.7282153473,11594.2847004974,18338.9319167862,9.5875245318267,0.11696999342296,14581.7282153474,"index"
"WA",2018,10035.8931782475,7911.77832406862,12730.2798131736,9.2139232635723,0.121336621603297,10035.8931782475,"index"
"WA",2019,11151.696276108,8517.35027932391,14600.823701762,9.31934689770368,0.137495550150869,11151.696276108,"index"
"WA",2021,13001.2470715527,10283.8009817868,16436.7655222932,9.4728005604238,0.119632476052166,13001.2470715527,"index"
"WA",2022,12084.4945705996,9412.07137071231,15515.7141584445,9.39967846939162,0.127517718996841,12084.4945705996,"index"
"WA",2023,13777.2859379902,10903.3021849527,17408.8184109121,9.53077656856467,0.119367292116491,13777.2859379902,"index"
"WA",2024,11319.9545819967,8962.13901850954,14298.0790047797,9.33432233955802,0.119164502092062,11319.9545819967,"index"
"WA",2025,16715.7219989455,13181.9930253039,21196.746304574,9.72410499259352,0.121174665433612,16715.7219989455,"index"
"OR",2003,5452.20061091334,4300.73237145305,6911.96032074891,8.60377458797831,0.121039969983113,5452.20061091334,"index"
"OR",2004,6514.53150590149,5230.15510208462,8114.31399509891,8.78179057690445,0.112039999605616,6514.5315059015,"index"
"OR",2005,7305.2829044982,6058.54674172,8808.57416635246,8.89635305095006,0.0954751279714849,7305.2829044982,"index"
"OR",2006,6322.24625351027,5186.98144643819,7705.98431915963,8.75182984385345,0.100982797645582,6322.24625351027,"index"
"OR",2007,5533.86548397789,4567.77481746883,6704.28565735023,8.61864185285555,0.0978897571070551,5533.86548397789,"index"
"OR",2008,5201.63826302486,4267.66476251707,6340.01078458796,8.55672890553321,0.100974734483282,5201.63826302486,"index"
"OR",2009,5020.61311540985,4113.64742951482,6127.5441044782,8.52130733977175,0.101655936011817,5020.61311540986,"index"
"OR",2010,7868.4896691449,6480.77332586093,9553.35521864055,8.97062141310175,0.0989948243925614,7868.4896691449,"index"
"OR",2011,9555.18895761157,7897.44047794038,11560.9147382233,9.16483963226236,0.0972189478686944,9555.18895761156,"index"
"OR",2012,11444.2950456639,9450.75377689278,13858.353755066,9.34524663552797,0.0976532502537654,11444.2950456639,"index"
"OR",2013,15994.8584252004,12884.6650460461,19855.8127144106,9.68002260115347,0.110323187446695,15994.8584252004,"index"
"OR",2014,16479.5811744504,13728.1818833989,19782.415325784,9.70987738896882,0.0932013647636603,16479.5811744504,"index"
"OR",2015,16078.6573040512,13245.8864774738,19517.2456853506,9.68524803825472,0.0988822810522677,16078.6573040512,"index"
"OR",2016,18797.6263503446,15573.4892143067,22689.2478329494,9.84148588288644,0.0960020419285308,18797.6263503446,"index"
"OR",2017,17833.2339452978,14910.6215136472,21328.7040152313,9.78881907103959,0.0913230963487995,17833.2339452978,"index"
"OR",2018,12394.014110257,10283.4930979841,14937.6855025421,9.42496890199623,0.0952433956201288,12394.014110257,"index"
"OR",2019,13109.2978734506,10276.2287407317,16723.4201447542,9.48107701875989,0.124231058832285,13109.2978734506,"index"
"OR",2021,15195.619162231,12593.103806294,18335.9754096647,9.6287624522819,0.0958475908830566,15195.619162231,"index"
"OR",2022,16941.2989369227,13956.6111982136,20564.2763557758,9.73750964395132,0.0988799026291721,16941.2989369227,"index"
"OR",2023,14361.472146616,11833.0237602473,17430.1925185786,9.5723043545215,0.098805299843107,14361.472146616,"index"
"OR",2024,12575.469704385,10398.984670168,15207.4883560099,9.43950334650774,0.0969609112777897,12575.469704385,"index"
"OR",2025,17097.247335498,14156.4321831408,20648.9786882403,9.74667275500068,0.0963019654736661,17097.247335498,"index"
"CA",2003,7888.41652438373,6315.73470398704,9852.71202460217,8.97315069970373,0.11344664022716,7888.41652438374,"index"
"CA",2004,10664.0780908175,8651.20805057126,13145.2810823969,9.27463618467659,0.106727438425653,10664.0780908175,"index"
"CA",2005,10790.6898320088,8890.40493253206,13097.1522595715,9.28643898873952,0.0988340161251251,10790.6898320088,"index"
"CA",2006,9576.99667270621,7801.07694355042,11757.205566964,9.16711932209608,0.104645927619594,9576.99667270621,"index"
"CA",2007,8367.23538652105,6799.09083923166,10297.0573079388,9.03207880862619,0.105886959225092,8367.23538652104,"index"
"CA",2008,7346.72669384417,5999.45664552708,8996.54690467401,8.90201014523381,0.103362083079652,7346.72669384417,"index"
"CA",2009,7270.80023122463,6016.52865000853,8786.55102927186,8.89162163754076,0.096611929229982,7270.80023122462,"index"
"CA",2010,10515.2490043145,8751.90367828788,12633.8755186538,9.26058176872322,0.093652358538203,10515.2490043145,"index"
"CA",2011,14435.68190829,12083.4338183863,17245.8355207146,9.57745833090437,0.0907504651732606,14435.68190829,"index"
"CA",2012,16705.2252450231,13913.7024650361,20056.8145817565,9.72347683838885,0.0932912122016391,16705.2252450231,"index"
"CA",2013,25629.0486897867,20749.8463322648,31655.566322055,10.1514817016106,0.107750746094823,25629.0486897867,"index"
"CA",2014,25632.112116898,21501.2165653453,30556.651042349,10.1516012239572,0.0896630899311572,25632.112116898,"index"
"CA",2015,22914.5398966766,19085.5764421776,27511.6730305304,10.0395269180454,0.0932867903825586,22914.5398966766,"index"
"CA",2016,25520.9388938385,21187.0394528664,30741.3559818959,10.1472545272929,0.0949556224564356,25520.9388938385,"index"
"CA",2017,27583.9187446798,22887.4016433525,33244.1657279207,10.2249882277181,0.0952294723845044,27583.9187446798,"index"
"CA",2018,18421.5930484243,15228.9724930235,22283.5185103405,9.8212787907833,0.0971057706457423,18421.5930484244,"index"
"CA",2019,19446.1606619118,15196.6154501466,24884.0385367018,9.87540493428712,0.125806862751244,19446.1606619118,"index"
"CA",2021,21888.5768286938,18168.1390677274,26370.878921589,9.99372017372514,0.0950504381182815,21888.5768286938,"index"
"CA",2022,21492.8336712972,17686.5859737728,26118.206187845,9.97547484093901,0.0994472683276858,21492.8336712972,"index"
"CA",2023,20546.6790838053,16849.0237837165,25055.8149120116,9.93045460510411,0.101229720674168,20546.6790838053,"index"
"CA",2024,18552.726686703,15330.5823252416,22452.0934827618,9.82837204843036,0.0973319371170711,18552.726686703,"index"
"CA",2025,28752.5684871835,23851.8605441769,34660.1973912683,10.2664823809197,0.0953409750800379,28752.5684871835,"index"
"North of Cape Mendocino",2003,11319.5407173259,9317.28939775972,13752.0685020266,9.33428577825969,0.0993175137742656,11319.5407173259,"index"
"North of Cape Mendocino",2004,13622.1083831785,11308.0013869102,16409.7819282073,9.5194493682502,0.0949933408249995,13622.1083831785,"index"
"North of Cape Mendocino",2005,14333.8771450285,12167.4025180492,16886.1047954969,9.5703810456387,0.0836062891574164,14333.8771450285,"index"
